# Model Name: GoogLeNet

layer name                    ,  no step,   step16,   step32,   step64,  step128,  step256
layer3.0.conv1                ,     7.28,     4.62,     6.02,     6.73,     7.05,     7.28
layer3.0.conv2                ,    49.01,    23.51,    35.33,    43.12,    46.41,    49.01
layer3.0.downsample.0         ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
layer3.1.conv1                ,    49.18,    24.05,    35.78,    43.40,    46.64,    49.18
layer3.1.conv2                ,    49.26,    24.40,    36.05,    43.56,    46.76,    49.26
layer4.0.conv1                ,     6.65,     5.57,     6.18,     6.65,     6.65,     6.65
layer4.0.conv2                ,    42.63,    32.11,    37.80,    42.63,    42.63,    42.63
layer4.0.downsample.0         ,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
layer4.1.conv1                ,    42.93,    33.16,    38.49,    42.93,    42.93,    42.93
layer4.1.conv2                ,    43.03,    33.36,    38.64,    43.03,    43.03,    43.03
overall ratio                 ,    42.96,    21.15,    25.53,    31.23,    36.54,    40.03



